,index,지하철승차,지하철하차,지하철승차/면적,지하철하차/면적,버스승차,버스하차,버스승차/면적,버스하차/면적,종합승차/면적,종합하차/면적,종합/면적
0,1,16064323,16609933,406692.0,420505.0,8866092,8441292,224458.0,213704.0,631150.0,634208.0,1265358.0
1,2,3687342,3557783,149953.0,144684.0,2863138,2789010,116435.0,113420.0,266388.0,258105.0,524493.0
2,3,2964721,2920052,125624.0,123731.0,4718950,4588938,199956.0,194447.0,325579.0,318178.0,643757.0
3,4,6074290,5870376,146545.0,141625.0,4740481,4696688,114366.0,113310.0,260911.0,254935.0,515846.0
4,5,5009488,4864323,169411.0,164502.0,6779508,6830265,229270.0,230986.0,398681.0,395488.0,794169.0
5,6,5662045,5555724,331890.0,325658.0,2847062,2858562,166885.0,167559.0,498775.0,493217.0,991992.0
6,7,6100868,6022382,303224.0,299323.0,5010540,4786098,249033.0,237878.0,552257.0,537201.0,1089458.0
7,8,2528962,2610915,194237.0,200531.0,3732466,3584678,286672.0,275321.0,480908.0,475852.0,956760.0
8,9,5549462,5408404,156588.0,152607.0,4235957,4127188,119525.0,116456.0,276112.0,269063.0,545175.0
9,10,3546173,3492749,249379.0,245622.0,5338922,5231785,375452.0,367917.0,624831.0,613540.0,1238371.0
10,11,6460940,6446804,394923.0,394059.0,4931916,4823216,301462.0,294818.0,696385.0,688877.0,1385262.0
11,12,9213914,9498105,386328.0,398243.0,5142093,5241463,215601.0,219768.0,601929.0,618011.0,1219940.0
12,13,3122225,3149088,177097.0,178621.0,5836149,5638685,331035.0,319835.0,508132.0,498456.0,1006588.0
13,14,10211389,10129345,217402.0,215656.0,6639412,6502958,141354.0,138449.0,358757.0,354105.0,712862.0
14,15,6219278,6295422,369755.0,374282.0,2931739,2876456,174301.0,171014.0,544056.0,545296.0,1089352.0
15,16,10680534,10688674,315246.0,315486.0,5742044,5745666,169482.0,169589.0,484728.0,485075.0,969803.0
16,17,2982070,2966553,171285.0,170394.0,4324705,4126031,248404.0,236992.0,419688.0,407386.0,827074.0
17,18,9835425,9999230,400628.0,407301.0,5931421,5966647,241606.0,243041.0,642234.0,650341.0,1292575.0
18,19,7236362,7260645,330881.0,331991.0,4157030,4069173,190079.0,186062.0,520960.0,518053.0,1039013.0
19,20,4345030,4230314,146248.0,142387.0,5067268,4968092,170558.0,167220.0,316806.0,309606.0,626412.0
20,21,8321204,8315162,348022.0,347769.0,5531811,5357018,231360.0,224049.0,579382.0,571818.0,1151200.0
21,22,10323455,10425563,1036491.0,1046743.0,3870991,3698503,388654.0,371336.0,1425145.0,1418079.0,2843224.0
22,23,2281118,2227627,123304.0,120412.0,3895588,3842228,210572.0,207688.0,333876.0,328100.0,661976.0
